signal, background, model, optimizer, initLR, scheduler
MHc-70_MA-15, TTLL_powheg, ParticleNetLite, AdamW, 0.002, CyclicLR
MHc-70_MA-40, TTLL_powheg, ParticleNet, AdamW, 0.05, CyclicLR
MHc-70_MA-65, TTLL_powheg, ParticleNetLite, AdamW, 0.005, StepLR
MHc-100_MA-15, TTLL_powheg, ParticleNetLite, AdamW, 0.01, CyclicLR
MHc-100_MA-60, TTLL_powheg, ParticleNet, AdamW, 0.02, CyclicLR
MHc-100_MA-95, TTLL_powheg, ParticleNet, Adam, 0.005, CyclicLR
MHc-130_MA-15, TTLL_powheg, ParticleNet, Adam, 0.002, CyclicLR
MHc-130_MA-55, TTLL_powheg, ParticleNetLite, AdamW, 0.01, StepLR
MHc-130_MA-90, TTLL_powheg, ParticleNetLite, AdamW, 0.005, CyclicLR
MHc-130_MA-125, TTLL_powheg, ParticleNetLite, AdamW, 0.005, StepLR
MHc-160_MA-15, TTLL_powheg, ParticleNet, AdamW, 0.005, CyclicLR
MHc-160_MA-85, TTLL_powheg, ParticleNet, AdamW, 0.01, CyclicLR
MHc-160_MA-120, TTLL_powheg, ParticleNetLite, Adam, 0.02, CyclicLR
MHc-160_MA-155, TTLL_powheg, ParticleNetLite, Adam, 0.01, StepLR
MHc-70_MA-15, ttX, ParticleNet, RMSprop, 0.0005, CyclicLR
MHc-70_MA-40, ttX, ParticleNetLite, AdamW, 0.01, CyclicLR
MHc-70_MA-65, ttX, ParticleNet, AdamW, 0.005, CyclicLR
MHc-100_MA-15, ttX, ParticleNet, Adam, 0.005, StepLR
MHc-100_MA-60, ttX, ParticleNetLite, AdamW, 0.02, CyclicLR
MHc-100_MA-95, ttX, ParticleNetLite, Adam, 0.01, CyclicLR
MHc-130_MA-15, ttX, ParticleNet, RMSprop, 0.001, CyclicLR
MHc-130_MA-55, ttX, ParticleNetLite, Adam, 0.02, StepLR
MHc-130_MA-90, ttX, ParticleNetLite, AdamW, 0.01, CyclicLR
MHc-130_MA-125, ttX, ParticleNet, Adam, 0.005, CyclicLR
MHc-160_MA-15, ttX, ParticleNet, AdamW, 0.002, CyclicLR
MHc-160_MA-85, ttX, ParticleNetLite, AdamW, 0.005, StepLR
MHc-160_MA-120, ttX, ParticleNet, Adam, 0.005, StepLR
MHc-160_MA-155, ttX, ParticleNet, Adam, 0.005, CyclicLR
